,0
0,Bakhmut
1,Solidar
2,Solidar
3,Kresheevka
4,Bakhmut
5,Artem
6,Chelyabinsk
7,Lugansk
8,Slavyansk
9,Donbass
10,Red Hill
11,Solidar
12,Bakhmut
13,Bakhmut
14,Praskoveivka
15,Ukraine
16,Bakhmut
17,Artemivsk
18,Bakhmut
19,Bakhmut
20,Bakhmut
21,Verkhovka
22,Yagodnaya
23,Bakhmut
24,Sochi
25,Donbass
26,Bakhmut
27,Moscow
28,Donbass
29,Bahmut
30,Slavyansk
31,Seversk
32,Chasov-Yar
33,Konstantinovka
34,Artemovsk
35,Bakhmut
36,Vasilyevka
37,Russian Federation
38,Orekhovo-Vasilyevka
39,Bakhmut
40,Zaporizhia
41,Donetsk
42,Avdiivka
43,Odintsovsky district
44,Bakhmut
45,Zaliznyanske
46,St. Petersburg
47,Yekaterinburg
48,Berezovsky
49,Bakinskoye
50,Russia
51,Novoaleksandrovka
52,Bakinsky
53,Krasnodar Territory
54,Chernobyl
55,Popasnaya
56,Bakhmut
57,Artemivsk
58,Bakhmut
59,Tula
60,Bakhmut
61,Bakhmut
62,Kursk
63,Belgorod
64,Bryansk
65,Bakhmut
66,Chasov Yar
67,Beglov
68,St. Petersburg
69,Bakhmut
70,Moscow
71,Russia
72,Chernobyl
73,Yaroslavl region
74,St. Petersburg
75,Bakhmut
76,Ukraine
77,Bakhmut
78,Bakhmut
79,Russia
80,Ukraine
81,St. Petersburg
82,Artemivsk
83,Avdiivka
84,Kyiv
85,Bakhmut
86,Russian Federation
87,Peremen
88,Smolny
89,Petersburg
90,Bakhmut
91,Bakhmut
92,Ukraine
93,Bakhmut
94,Miara
95,Konstantinovka
96,Ukraine
97,Rostov-on-Don
98,Sudan
99,Slavyansk-Kramatorsk
100,Bakhmut
101,Bakhmut
102,Sivore
103,Mali
104,Avdiivka
105,Ugledar
106,Kiev
107,Bakhmut
108,Slavyansk
109,Krematorsk
110,Bakhmut
111,Bakhmut
112,Bakhmut
113,Bakhmut
114,Bakhmut
115,Bakhmut
116,Chasov Yar
117,Bakhmut
118,Bakhmut
119,Ukraine
120,Russia
121,Yaroslavl
122,Chelyabinsk
123,Bakhmut
124,Artemivsk
125,Bakhmut
126,Bakhmut
127,Artemivsk
128,Artemivsk
129,Central Africa
130,Bakhmut
131,Syria
132,Iraq
133,Donbass
134,Russian Federation
135,Artemivsk
136,Bakhmut
137,Artemivsk
138,Belyansk
139,Belgorod
140,Zaporizhia
141,Sudan
142,Artemivsk
143,Artemivsk
144,Bakhmut
145,Bakhmut
146,Bakhmut
147,Russia
148,Bakhmut
149,Verkhovsky reservoir
150,Bahmut
151,Bryansk
152,Bakhmut
153,Bakhmut
154,Bakhmut
155,Bakhmut
156,Bakhmut
157,Bakhmut
158,Kleschevka
159,Bakhmut
160,Bakhmut
161,Artemivsk
162,Bakhmut
163,Bakhmut
164,Chastny Yar
165,Konstantinovka
166,Ivanovsky
167,Bakhmut
168,Bakhmut
169,Bakhmut
170,Saki-Ivanseti
171,Tansur
172,Bakhmut
173,Bakhmut
174,Artemivsk
175,Popasna
176,Bakhmut
177,Bakhmut
178,Bakhmut
179,Belgorod
180,Kursk
181,Belgorod
182,Kursk
183,Bryansk
184,Palmyra
185,Artemovsk
186,Bakhmut
187,DPR
188,Artemivsk
189,Palmyra
190,Artemivsk
191,Bakhmut
192,St. Petersburg
193,Belgorod
194,Kursk
195,Artemivsk
196,Bamako
197,Bahmut
198,Donbass
199,Artemivsk
200,Artemivsk
201,Bakhmut
202,Donbass
203,Bakhmut
204,Kramatorsk
205,Sloviansk
206,Druzhkivka
207,Konstantinivka
208,Chasiv Yar
209,Kherson
210,Zaporizhia
211,Luhansk
212,Donetsk
213,Belgorod
214,Russian Federation
215,Moscow
216,Moscow
217,Kremlin
218,Kiev
219,Kiev
220,Russian Federation
221,Leningrad region
222,Ukraine
223,Russian Federation
224,Bakhmut
225,Bakhmut
226,Kirov region
227,Bakhmut
228,SVO
229,Tyumen
230,Belgorod region
231,Bakhmut
232,Bakhmut
233,Chasov Yar
234,Konstantinovka
235,Kherson
236,Krasny Liman
237,Belgorod
238,Belgorod
239,Kharkiv
240,Ukraine
241,Verkhovsky reservoir
242,Berkhovka
243,St. Petersburg
244,St. Petersburg
245,Ukraine
246,Voronezh
247,Orenburg
248,Bakhmut
249,Zaporizhia
250,Bahmut
251,Zaporizhia
252,Russia
253,Samara
254,Russia
255,Mexico
256,Bakhmut
257,Artemivsk
258,Artemivsk
259,Berlusconi
260,Khartoum
261,Sudan
262,Luhansk
263,Donetsk
264,Russia
265,Ministry of Defense
266,St. Petersburg
267,Chuvashovagner
268,Luhansk
269,Donetsk
270,Red Square
271,Russian Empire
272,Gazprom
273,Russian flag
274,Soviet Union
275,Russia
276,St. Petersburg
277,Novosibirsk
278,Popasnaya
279,Bakhmut
280,Artemivsk
281,Bakhmut
282,Rabotino
283,Urazhaina
284,Takmak
285,Sadov
286,Dnipro
287,USSR
288,Bakhmut
289,Russian territory
290,Rostov
291,Rostov
292,Rostov
293,Bakhmut
294,Russia
295,Moscow
296,Rostov
297,Moscow
298,Chevakov Agner
299,forest
300,Rostov
301,Africa
302,Ukraine
303,Moscow
304,residential areas
305,Rostov
306,Moscow
