,id,date,text,generic complaint about situation at the front,specific complaint mentioning Shoigu or Gerasimov
0,206,2022-12-26,- - - - - There are no nationalists on that noisy video.,0,0
1,207,2022-12-26,"And separately, the guys asked to convey, when I get to the normal Internet, that when you sit in a warm office, then the problems of the front are poorly heard. And when you pull out the bodies of your comrades every day and see them for the last time, then the ammunition is very necessary. And I want everyone to move and at least somehow think about what they are like on the front line.",1,0
2,250,2023-01-10,"There was no possibility to get in touch with him, while he was moving along the ""Bahmut"" and ""Solidar"", or rather, under the ""Bahmut"" and ""Solidar"".",0,0
3,251,2023-01-10,"As for the question about the RTVI, I knew about the possibility of such an appointment, so I have a prepared answer, which the press service publishes without my presence.",0,0
4,252,2023-01-10,"As for the criticism that I heard from the respected, to me very nice, General Boldarev, it is absolutely accepted, there is only one nuance, it is too late to say that me and Kadyrov are not military people, but civil. I have been 8 years as I have the deepest combat experience, in many ways significantly superior to those who are in the service in the Ministry of Defense for decades, and Kadyrov, I think that he is much more and deeper.",0,0
5,256,2023-01-10,"The unit of the ChVK ""Wagner"" took under control the entire territory of ""Solidar"", in the center of the city is formed a boiler, in which are conducted city battles. The number of prisoners will be reported tomorrow.",1,0
6,257,2023-01-10,"Once again I want to emphasize that in the assault of ""Solidar"" did not participate any units, except the fighters of the ChVK ""Wagner"".",0,0
7,294,2023-01-19,"We can safely say that the settlement of Kresheevka, which is one of the important suburbs of Bakhmut, is completely taken under control by the divisions of the ChVK ""Wagner"". Exclusively by the divisions of the ChVK ""Wagner"". Kresheevka is liberated. Fierce fighting is still going on around Kresheevka. The enemy is clinging to every meter of the ground. Despite various opinions that the USSR is running after Artyomovsk, this is not the case. The USSR works clearly, smoothly. We have something to learn from them. But in any case, the divisions of the ChVK ""Wagner"" are moving forward meter by meter. The green point ""Artem"" will be taken!",0,0
8,301,2023-01-20,"Good evening, Evgeny Viktorovich. I am the head of the military service of the front hospital of Chelyabinsk. I report that the military nurse Anastasia was injured in the left knee. She was brought to the military field surgical hospital, where medical assistance was provided in the volume of primary surgical treatment of the wound and installation of the external fixation apparatus. 40-50 minutes ago, with our resources, Anastasia was evacuated to further specialized treatment in our other hospitals. The left knee is, of course, preserved. The condition does not threaten anything.",0,0
9,312,2023-01-20,"I consider it necessary to organize courses for military nurses based on the training of the ChVK ""Wagner"" to save their hands, legs and heads.",0,0
10,337,2023-01-25,"About Stan. What can I say? I remember him well. A strong man came to me in July, about 60 years old. I put him in the GES calculation, shot him. So, a couple of days later, he surrendered to the stormtroopers. And in the first storm, he jumped on the first support. Then he gathered a group of three desperate, just like him, old robbers, as we called their joke. They will sneak up at night on soft paws and then they will take off the secret, then they will bring the prisoners. Nightmare for Ukrops, in short, they are a sensible uncle. It can be seen that a large life experience of a man behind his back. He was severely injured in November of last year. But nothing, he stayed on the front. It's okay. It was a pity to part with him. He is worth a few. Handsome, by the way.",0,0
12,366,2023-01-28,"""The commander of the stormtrooper group"" The commander of the stormtrooper group is a friendly unit of the ""Blagodrataya"" ""Blagodrataya"" under our control. *Bang*",0,0
